schedule_date,schedule_season,schedule_week,team_home,score_home,score_away,team_away,pr_score_home,pr_score_away,in_div,in_conf
11/14/21,2021,10,TEN,,,NO,,,FALSE,FALSE
11/14/21,2021,10,PIT,,,DET,,,FALSE,FALSE
11/14/21,2021,10,WAS,,,TB,,,FALSE,TRUE
11/14/21,2021,10,ARI,,,CAR,,,FALSE,TRUE
11/14/21,2021,10,LAC,,,MIN,,,FALSE,FALSE
11/14/21,2021,10,DEN,,,PHI,,,FALSE,FALSE
11/14/21,2021,10,GB,,,SEA,,,FALSE,TRUE
11/14/21,2021,10,LVR,,,KC,,,TRUE,TRUE
11/15/21,2021,10,SF,,,LAR,,,TRUE,TRUE
11/18/21,2021,11,ATL,,,NE,,,FALSE,FALSE
11/21/21,2021,11,BUF,,,IND,,,FALSE,TRUE
11/21/21,2021,11,CAR,,,WAS,,,FALSE,TRUE
11/21/21,2021,11,CHI,,,BAL,,,FALSE,FALSE
11/21/21,2021,11,CLE,,,DET,,,FALSE,FALSE
11/21/21,2021,11,JAX,,,SF,,,FALSE,FALSE
11/21/21,2021,11,MIN,,,GB,,,TRUE,TRUE
11/21/21,2021,11,NYJ,,,MIA,,,TRUE,TRUE
11/21/21,2021,11,TEN,,,HOU,,,TRUE,TRUE
11/21/21,2021,11,PHI,,,NO,,,FALSE,TRUE
11/21/21,2021,11,LVR,,,CIN,,,FALSE,TRUE
11/21/21,2021,11,KC,,,DAL,,,FALSE,FALSE
11/21/21,2021,11,SEA,,,ARI,,,TRUE,TRUE
11/21/21,2021,11,LAC,,,PIT,,,FALSE,TRUE
11/22/21,2021,11,TB,,,NYG,,,FALSE,TRUE
11/25/21,2021,12,DET,,,CHI,,,TRUE,TRUE
11/25/21,2021,12,DAL,,,LVR,,,FALSE,FALSE
11/25/21,2021,12,NO,,,BUF,,,FALSE,FALSE
11/28/21,2021,12,CIN,,,PIT,,,TRUE,TRUE
11/28/21,2021,12,IND,,,TB,,,FALSE,FALSE
11/28/21,2021,12,HOU,,,NYJ,,,FALSE,TRUE
11/28/21,2021,12,JAX,,,ATL,,,FALSE,FALSE
11/28/21,2021,12,MIA,,,CAR,,,FALSE,FALSE
11/28/21,2021,12,NE,,,TEN,,,FALSE,TRUE
11/28/21,2021,12,NYG,,,PHI,,,TRUE,TRUE
11/28/21,2021,12,DEN,,,LAC,,,TRUE,TRUE
11/28/21,2021,12,GB,,,LAR,,,FALSE,TRUE
11/28/21,2021,12,SF,,,MIN,,,FALSE,TRUE
11/28/21,2021,12,BAL,,,CLE,,,TRUE,TRUE
11/29/21,2021,12,WAS,,,SEA,,,FALSE,TRUE
12/2/21,2021,13,NO,,,DAL,,,FALSE,TRUE
12/5/21,2021,13,ATL,,,TB,,,TRUE,TRUE
12/5/21,2021,13,CHI,,,ARI,,,FALSE,TRUE
12/5/21,2021,13,CIN,,,LAC,,,FALSE,TRUE
12/5/21,2021,13,DET,,,MIN,,,TRUE,TRUE
12/5/21,2021,13,HOU,,,IND,,,TRUE,TRUE
12/5/21,2021,13,KC,,,DEN,,,TRUE,TRUE
12/5/21,2021,13,MIA,,,NYG,,,FALSE,FALSE
12/5/21,2021,13,NYJ,,,PHI,,,FALSE,FALSE
