schedule_date,schedule_season,schedule_week,team_home,score_home,score_away,team_away,pr_spread,pr_total,pr_hfa,in_div,in_conf
12/6/2021,2021,13,BUF,,,NE,,,,True,True
12/9/2021,2021,14,MIN,,,PIT,,,,False,False
12/12/2021,2021,14,CAR,,,ATL,,,,True,True
12/12/2021,2021,14,CIN,,,SF,,,,False,False
12/12/2021,2021,14,CLE,,,BAL,,,,True,True
12/12/2021,2021,14,HOU,,,SEA,,,,False,False
12/12/2021,2021,14,KC,,,LVR,,,,True,True
12/12/2021,2021,14,NYJ,,,NO,,,,False,False
12/12/2021,2021,14,TEN,,,JAX,,,,True,True
12/12/2021,2021,14,WAS,,,DAL,,,,True,True
12/12/2021,2021,14,DEN,,,DET,,,,False,False
12/12/2021,2021,14,LAC,,,NYG,,,,False,False
12/12/2021,2021,14,TB,,,BUF,,,,False,False
12/12/2021,2021,14,GB,,,CHI,,,,True,True
12/13/2021,2021,14,ARI,,,LAR,,,,True,True
12/16/2021,2021,15,LAC,,,KC,,,,True,True
12/19/2021,2021,15,BUF,,,CAR,,,,False,False
12/19/2021,2021,15,CLE,,,LVR,,,,False,True
12/19/2021,2021,15,IND,,,NE,,,,False,True
12/19/2021,2021,15,DET,,,ARI,,,,False,True
12/19/2021,2021,15,JAX,,,HOU,,,,True,True
12/19/2021,2021,15,MIA,,,NYJ,,,,True,True
12/19/2021,2021,15,NYG,,,DAL,,,,True,True
12/19/2021,2021,15,PHI,,,WAS,,,,True,True
12/19/2021,2021,15,PIT,,,TEN,,,,False,True
12/19/2021,2021,15,BAL,,,GB,,,,False,False
12/19/2021,2021,15,DEN,,,CIN,,,,False,True
12/19/2021,2021,15,SF,,,ATL,,,,False,True
12/19/2021,2021,15,LAR,,,SEA,,,,True,True
12/19/2021,2021,15,TB,,,NO,,,,True,True
12/20/2021,2021,15,CHI,,,MIN,,,,True,True
12/23/2021,2021,16,TEN,,,SF,,,,False,False
12/25/2021,2021,16,GB,,,CLE,,,,False,False
12/25/2021,2021,16,ARI,,,IND,,,,False,False
12/26/2021,2021,16,ATL,,,DET,,,,False,True
12/26/2021,2021,16,CAR,,,TB,,,,True,True
12/26/2021,2021,16,CIN,,,BAL,,,,True,True
12/26/2021,2021,16,HOU,,,LAC,,,,False,True
12/26/2021,2021,16,MIN,,,LAR,,,,False,True
12/26/2021,2021,16,NE,,,BUF,,,,True,True
12/26/2021,2021,16,NYJ,,,JAX,,,,False,True
12/26/2021,2021,16,PHI,,,NYG,,,,True,True
12/26/2021,2021,16,SEA,,,CHI,,,,False,True
12/26/2021,2021,16,KC,,,PIT,,,,False,True
12/26/2021,2021,16,LVR,,,DEN,,,,True,True
12/26/2021,2021,16,DAL,,,WAS,,,,True,True
